iter	Passed	Remaining
0	1	127
1	2	117
2	3	112
3	4	104
4	5	103
5	6	101
6	7	100
7	8	99
8	9	98
9	10	98
10	11	96
11	13	96
12	14	94
13	15	93
14	16	92
15	17	90
16	18	89
17	19	88
18	20	87
19	21	86
20	22	84
21	23	83
22	24	82
23	25	81
24	26	80
25	27	79
26	29	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	36	71
34	37	69
35	38	68
36	39	67
37	41	66
38	42	65
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	68	38
64	69	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
