iter	Passed	Remaining
0	232	232714
1	235	117377
2	236	78717
3	238	59472
4	241	48058
5	243	40317
6	245	34771
7	247	30633
8	249	27475
9	252	25015
10	254	22891
11	263	21684
12	266	20198
13	270	19028
14	273	17974
15	276	17013
16	278	16130
17	280	15324
18	282	14603
19	284	13943
20	286	13344
21	288	12844
22	292	12417
23	296	12060
24	298	11643
25	300	11259
26	303	10936
27	305	10596
28	306	10278
29	312	10096
30	314	9815
31	316	9568
32	319	9354
33	320	9115
34	322	8891
35	324	8697
36	326	8507
37	330	8356
38	331	8171
39	333	7995
40	334	7826
41	336	7669
42	337	7517
43	339	7372
44	342	7276
45	347	7210
46	350	7104
47	352	6985
48	354	6870
49	355	6760
50	357	6655
51	360	6567
52	362	6468
53	365	6403
54	367	6320
55	369	6236
56	372	6156
57	373	6073
58	375	5993
59	377	5909
60	378	5828
61	380	5756
62	381	5680
63	386	5648
64	387	5581
65	389	5515
66	391	5450
67	393	5388
68	394	5325
69	396	5265
70	399	5223
71	400	5165
72	402	5113
73	404	5057
74	407	5024
75	409	4977
76	412	4942
77	413	4892
78	415	4846
79	417	4798
80	418	4750
81	420	4704
82	420	4651
83	422	4611
84	425	4577
85	430	4579
86	432	4540
87	434	4501
88	435	4462
89	437	4422
90	439	4392
91	441	4359
92	443	4326
93	446	4299
94	448	4269
95	456	4294
96	458	4271
97	461	4245
98	464	4224
99	465	4191
100	468	4172
101	471	4146
102	472	4115
103	475	4097
104	477	4070
105	479	4043
106	482	4022
107	483	3994
108	485	3965
109	487	3942
110	489	3916
111	490	3892
112	492	3866
113	494	3839
114	498	3837
115	500	3815
116	502	3790
117	503	3764
118	505	3742
119	507	3718
120	508	3693
121	510	3673
122	512	3650
123	513	3628
124	515	3605
125	516	3583
126	518	3567
127	521	3549
128	523	3531
129	524	3510
130	526	3489
131	527	3469
132	528	3448
133	530	3427
134	532	3409
135	533	3389
136	534	3369
137	536	3351
138	538	3333
139	540	3317
140	542	3306
141	544	3289
142	546	3272
143	547	3257
144	549	3242
145	551	3226
146	553	3209
147	554	3191
148	556	3176
149	557	3161
150	559	3145
151	564	3147
152	566	3133
153	567	3119
154	569	3104
155	571	3090
156	572	3075
157	574	3060
158	576	3049
159	578	3035
160	579	3018
161	580	3004
162	582	2990
163	586	2987
164	588	2978
165	590	2968
166	592	2957
167	594	2945
168	596	2932
169	598	2919
170	599	2907
171	601	2897
172	603	2887
173	607	2881
174	609	2871
175	612	2867
176	614	2855
177	615	2843
178	617	2832
179	619	2821
180	620	2809
181	622	2797
182	624	2786
183	625	2774
184	627	2762
185	632	2767
186	634	2759
187	636	2748
188	638	2738
189	639	2728
190	641	2717
191	643	2706
192	644	2696
193	646	2687
194	648	2676
195	651	2670
196	653	2663
197	656	2657
198	657	2647
199	659	2638
200	661	2627
201	662	2617
202	664	2607
203	665	2597
204	667	2587
205	668	2577
206	670	2567
207	672	2560
208	674	2553
209	676	2544
210	678	2535
211	680	2528
212	681	2519
213	683	2510
214	685	2503
215	687	2494
216	689	2486
217	690	2477
218	692	2467
219	694	2461
220	696	2455
